algorithm, network, bbdd, threads, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, dfMM minus, Total iterations, Total time(s)
ges-tetrad,alarm,alarm.xbif50008_,16,0,0,-1,7,-0.28143777349946686,-54211.83652719084,14.0,0.0,14.0,1,0.82
ges-tetrad,alarm,alarm.xbif50008_,1,0,0,-1,7,-0.28143777349946686,-54211.83652719084,14.0,0.0,14.0,1,1.378
ges-tetrad,alarm,alarm.xbif50008_,2,0,0,-1,7,-0.28143777349946686,-54211.83652719084,14.0,0.0,14.0,1,0.865
ges-tetrad,alarm,alarm.xbif50008_,4,0,0,-1,7,-0.28143777349946686,-54211.83652719084,14.0,0.0,14.0,1,2.001
ges-tetrad,alarm,alarm.xbif50008_,8,0,0,-1,7,-0.28143777349946686,-54211.83652719084,14.0,0.0,14.0,1,0.903
ges-tetrad,alarm,alarm.xbif50009_,16,0,0,-1,8,-0.28181102538665115,-54374.11719194646,16.0,2.0,14.0,1,0.754
ges-tetrad,alarm,alarm.xbif50009_,1,0,0,-1,8,-0.28181102538665115,-54374.11719194646,16.0,2.0,14.0,1,1.139
ges-tetrad,alarm,alarm.xbif50009_,2,0,0,-1,8,-0.28181102538665115,-54374.11719194646,16.0,2.0,14.0,1,0.858
ges-tetrad,alarm,alarm.xbif50009_,4,0,0,-1,8,-0.28181102538665115,-54374.11719194646,16.0,2.0,14.0,1,1.949
ges-tetrad,alarm,alarm.xbif50009_,8,0,0,-1,8,-0.28181102538665115,-54374.11719194646,16.0,2.0,14.0,1,0.831
ges-tetrad,alarm,alarm.xbif_,16,0,0,-1,10,-0.28190824997835057,-54074.96493375085,22.0,6.0,16.0,1,0.995
ges-tetrad,alarm,alarm.xbif_,1,0,0,-1,10,-0.28190824997835057,-54074.96493375085,22.0,6.0,16.0,1,1.299
ges-tetrad,alarm,alarm.xbif_,2,0,0,-1,10,-0.28190824997835057,-54074.96493375085,22.0,6.0,16.0,1,1.232
ges-tetrad,alarm,alarm.xbif_,4,0,0,-1,10,-0.28190824997835057,-54074.96493375085,22.0,6.0,16.0,1,1.076
ges-tetrad,alarm,alarm.xbif_,8,0,0,-1,10,-0.28190824997835057,-54074.96493375085,22.0,6.0,16.0,1,1.096
fges,andes,andes.xbif50001246_,16,0,0,-1,239,-0.4205087239972585,-473832.74685822334,508.0,44.0,464.0,1,3.008
fges,andes,andes.xbif50001246_,1,0,0,-1,239,-0.4205087239972585,-473832.74685822334,508.0,44.0,464.0,1,3.523
fges,andes,andes.xbif50001246_,2,0,0,-1,239,-0.4205087239972585,-473832.74685822334,508.0,44.0,464.0,1,3.535
fges,andes,andes.xbif50001246_,4,0,0,-1,239,-0.4205087239972585,-473832.74685822334,508.0,44.0,464.0,1,5.041
fges,andes,andes.xbif50001246_,8,0,0,-1,239,-0.4205087239972585,-473832.74685822334,508.0,44.0,464.0,1,4.205
fges,andes,andes.xbif50001_,16,0,0,-1,238,-0.42036653459100315,-474254.87011898274,512.0,48.0,464.0,1,2.927
fges,andes,andes.xbif50001_,1,0,0,-1,238,-0.42036653459100315,-474254.87011898274,512.0,48.0,464.0,1,3.422
fges,andes,andes.xbif50001_,2,0,0,-1,238,-0.42036653459100315,-474254.87011898274,512.0,48.0,464.0,1,2.947
fges,andes,andes.xbif50001_,4,0,0,-1,238,-0.42036653459100315,-474254.87011898274,512.0,48.0,464.0,1,4.016
fges,andes,andes.xbif50001_,8,0,0,-1,238,-0.42036653459100315,-474254.87011898274,512.0,48.0,464.0,1,3.359
fges,andes,andes.xbif50002_,16,0,0,-1,230,-0.41981417904586527,-473570.7206459781,494.0,54.0,440.0,1,2.99
fges,andes,andes.xbif50002_,1,0,0,-1,230,-0.41981417904586527,-473570.7206459781,494.0,54.0,440.0,1,3.503
fges,andes,andes.xbif50002_,2,0,0,-1,230,-0.41981417904586527,-473570.7206459781,494.0,54.0,440.0,1,7.676
fges,andes,andes.xbif50002_,4,0,0,-1,230,-0.41981417904586527,-473570.7206459781,494.0,54.0,440.0,1,6.887
fges,andes,andes.xbif50002_,8,0,0,-1,230,-0.41981417904586527,-473570.7206459781,494.0,54.0,440.0,1,3.0
