algorithm,network,bbdd,threads,pges_threads,interleaving,seed,SHD,loglike,bdeu,deltaMB,deltaMB+,deltaMB-,iterations,time(s)
pges-jc,andes,andes.xbif50003_,2,2,15,-1,156,-0.5442109533212756,-470854.0694221032,336.0,10.0,326.0,100,93.825
pges-jc,andes,andes.xbif50003_,2,2,5,-1,156,-0.5449771436237943,-470874.02540226246,336.0,10.0,326.0,37,59.823
pges-jc,andes,andes.xbif50003_,4,4,10,-1,156,-0.5442109533212756,-470854.0694221032,336.0,10.0,326.0,100,79.968
pges-jc,andes,andes.xbif50003_,4,4,15,-1,156,-0.5449798499121488,-470874.02540226246,336.0,10.0,326.0,10,19.952
pges-jc,andes,andes.xbif50003_,4,4,5,-1,156,-0.5449798499121488,-470874.02540226246,336.0,10.0,326.0,22,21.928
pges-jc,andes,andes.xbif50003_,8,8,10,-1,156,-0.5449798499121488,-470874.02540226246,336.0,10.0,326.0,10,14.509
pges-jc,andes,andes.xbif50003_,8,8,15,-1,156,-0.5442109533212756,-470854.0694221032,336.0,10.0,326.0,100,110.61
pges-jc,andes,andes.xbif50003_,8,8,5,-1,182,-0.5449880921133222,-471445.9147890261,394.0,24.0,370.0,100,118.94
pges-jc,andes,andes.xbif50004_,16,16,10,-1,153,-0.544956781384772,-471086.0457055405,328.0,16.0,312.0,100,214.456
pges-jc,andes,andes.xbif50004_,16,16,15,-1,153,-0.5437506059730204,-471086.0457055405,328.0,16.0,312.0,100,211.026
pges-jc,andes,andes.xbif50004_,16,16,5,-1,150,-0.5449730434119807,-470913.5029758131,322.0,10.0,312.0,100,212.447
pges-jc,andes,andes.xbif50004_,2,2,10,-1,150,-0.5449730061830886,-470926.6384419864,322.0,10.0,312.0,100,94.165
pges-jc,andes,andes.xbif50004_,2,2,15,-1,150,-0.5449730434119807,-470913.5029758131,322.0,10.0,312.0,100,94.963
pges-jc,andes,andes.xbif50004_,2,2,5,-1,156,-0.544957730598219,-471132.4022782084,334.0,22.0,312.0,100,91.563
pges-jc,andes,andes.xbif50004_,4,4,10,-1,158,-0.5449718816756192,-470974.33146703016,338.0,18.0,320.0,100,79.534
pges-jc,andes,andes.xbif50004_,4,4,15,-1,150,-0.5449730434119807,-470913.5029758131,322.0,10.0,312.0,100,87.302
pges-jc,andes,andes.xbif50004_,4,4,5,-1,164,-0.5449599953918696,-471211.45131932304,350.0,30.0,320.0,22,22.032
pges-jc,andes,andes.xbif50004_,8,8,10,-1,150,-0.5464083824710861,-470913.5029758131,322.0,10.0,312.0,100,137.512
