network,algorithm,pges_threads,SHD,loglike,bdeu,deltaMM,deltaMM+,deltaMM-,time(s),deltaBDeu,deltas,deltaSHD,deltaSHDemptySHD
diabetes,GES,1,263.0,0.0,-226.32818032848957,615.8181818181819,231.27272727272728,384.54545454545456,167.75290909090907,522.6695762842563,3.1170668611978916,556.0,67.88766788766789
diabetes,pGES,2,263.90909090909093,0.0,-226.6575387700922,618.0,231.27272727272728,386.72727272727275,106.93718181818181,522.3402178426536,4.92894770168293,555.0909090909091,67.77666777666776
diabetes,pGES,4,269.45454545454544,0.0,-228.1426661139557,630.0,234.54545454545453,395.45454545454544,85.67027272727273,520.8550904987901,6.089409810551067,549.5454545454545,67.0995670995671
diabetes,pGES,8,272.1818181818182,0.0,-228.6178606307969,635.6363636363636,236.72727272727272,398.90909090909093,77.598,520.379895981949,6.720424475616057,546.8181818181819,66.76656676656677
diabetes,pGES,16,274.1818181818182,0.0,-229.5372234655836,638.9090909090909,238.0,400.90909090909093,88.61118181818182,519.4605331471622,5.8864868113412605,544.8181818181819,66.52236652236651
diabetes,pGES-jc,2,262.45454545454544,0.0,-226.7304257549696,614.5454545454545,228.54545454545453,386.0,153.09927272727273,522.2673308577763,3.4466979006623406,556.5454545454545,67.95426795426796
diabetes,pGES-jc,4,265.8181818181818,0.0,-227.5416009011389,622.1818181818181,231.0909090909091,391.09090909090907,145.56318181818182,521.456155711607,3.621941728624404,553.1818181818181,67.54356754356753
diabetes,pGES-jc,8,270.6363636363636,0.0,-230.1878501177102,631.2727272727273,235.8181818181818,395.45454545454544,113.99309090909091,518.8099064950358,4.5656474809439835,548.3636363636364,66.95526695526695
diabetes,pGES-jc,16,271.1818181818182,0.0,-230.25433697123196,634.3636363636364,236.36363636363637,398.0,102.46090909090908,518.7434196415139,5.074678994590354,547.8181818181819,66.88866688866689
hailfinder,Fges,1,45.90909090909091,-0.8800921065696516,-50.45630986548873,92.0,23.636363636363637,68.36363636363636,1669.1452727272726,19.374013316231114,0.011811554958156851,53.09090909090909,53.62718089990817
hailfinder,Fges-faithfulness,1,43.90909090909091,-0.8791896951936483,-50.418335211414686,88.0,23.636363636363637,64.36363636363636,1669.3483636363635,19.411987970305166,0.011830561387451154,55.09090909090909,55.647382920110196
hailfinder,GES,1,32.90909090909091,-1.1634434494578825,-50.4134307748149,66.0,12.545454545454545,53.45454545454545,1.1887272727272729,19.41689240690495,16.605499323649482,66.0909090909091,66.7584940312213
hailfinder,pGES,2,32.81818181818182,-1.0416976985515964,-50.41464837159995,65.81818181818181,12.363636363636363,53.45454545454545,1.1486363636363637,19.415674810119892,16.936116257379606,66.18181818181819,66.85032139577594
hailfinder,pGES,4,33.81818181818182,-1.0406392289755133,-50.41545155668668,68.36363636363636,13.636363636363637,54.72727272727273,1.2320909090909091,19.414871625033165,15.852877375946598,65.18181818181819,65.84022038567493
hailfinder,pGES,8,33.36363636363637,-1.042121216255255,-50.416062596626745,67.0909090909091,12.909090909090908,54.18181818181818,1.2620909090909092,19.4142605850931,15.446426936270262,65.63636363636364,66.29935720844811
hailfinder,pGES,16,33.0,-1.0422799942625156,-50.416203845008766,66.36363636363636,12.545454545454545,53.81818181818182,1.3929090909090909,19.414119336711085,14.031793940087205,66.0,66.66666666666666
hailfinder,pGES-jc,2,32.90909090909091,-1.0411903176519002,-50.4134307748149,66.0,12.545454545454545,53.45454545454545,1.3275454545454546,19.41689240690495,14.669018664184058,66.0909090909091,66.7584940312213
hailfinder,pGES-jc,4,32.90909090909091,-1.0410998383428718,-50.4134307748149,66.0,12.545454545454545,53.45454545454545,1.5058181818181817,19.41689240690495,12.948052595627797,66.0909090909091,66.7584940312213
hailfinder,pGES-jc,8,32.90909090909091,-1.0409652613712124,-50.4134307748149,66.0,12.545454545454545,53.45454545454545,1.482909090909091,19.41689240690495,13.109686862509134,66.0909090909091,66.7584940312213
hailfinder,pGES-jc,16,32.90909090909091,-1.0409652613712124,-50.4134307748149,66.0,12.545454545454545,53.45454545454545,1.6533636363636364,19.41689240690495,11.761713006080653,66.0909090909091,66.7584940312213
hepar2,Fges,1,92.18181818181819,-0.4682660148481386,-33.00043175604965,290.0,5.818181818181818,284.1818181818182,0.8202727272727273,2.2138986739636226,2.7225963360736958,65.81818181818181,41.65707710011508
hepar2,Fges-faithfulness,1,87.0,-0.4679891629471671,-32.99369386964609,272.72727272727275,7.636363636363637,265.09090909090907,1.6783636363636363,2.2206365603671903,1.3269881922793358,71.0,44.936708860759495
hepar2,GES,1,76.54545454545455,-0.479935059753492,-32.96253485314878,250.36363636363637,0.18181818181818182,250.1818181818182,1.3513636363636363,2.2517955768644926,1.6824465042114236,81.45454545454545,51.55350978135788
hepar2,pGES,2,75.63636363636364,-0.49963985951222656,-32.96091689059742,247.63636363636363,0.0,247.63636363636363,1.464909090909091,2.253413539415857,1.5466667972305765,82.36363636363636,52.1288837744534
hepar2,pGES,4,75.63636363636364,-0.4956387980066697,-32.960843357905965,247.27272727272728,0.18181818181818182,247.0909090909091,1.3717272727272727,2.253487072107315,1.656927943836517,82.36363636363636,52.1288837744534
hepar2,pGES,8,75.72727272727273,-0.49321999772149927,-32.9606526697954,248.1818181818182,0.18181818181818182,248.0,1.504181818181818,2.253677760217873,1.5071518179411572,82.27272727272727,52.07134637514385
hepar2,pGES,16,75.72727272727273,-0.4989744228218047,-32.9606526697954,248.1818181818182,0.18181818181818182,248.0,1.6603636363636363,2.2536777602178732,1.3661864830632386,82.27272727272727,52.07134637514385
hepar2,pGES-jc,2,75.72727272727273,-0.4989607755612803,-32.960980717625866,247.45454545454547,0.18181818181818182,247.27272727272728,1.548909090909091,2.2533497123874113,1.460237945570828,82.27272727272727,52.07134637514385
hepar2,pGES-jc,4,76.0,-0.49569502649021346,-32.96067984157242,248.72727272727272,0.18181818181818182,248.54545454545453,1.6130909090909091,2.2536505884408555,1.4027278389624547,82.0,51.89873417721519
hepar2,pGES-jc,8,76.0,-0.49569655280364894,-32.96067984157242,248.72727272727272,0.18181818181818182,248.54545454545453,1.7842727272727272,2.2536505884408555,1.2692153124418744,82.0,51.89873417721519
hepar2,pGES-jc,16,75.9090909090909,-0.4948015169801618,-32.9608091365779,247.8181818181818,0.18181818181818182,247.63636363636363,2.0238181818181817,2.2535212934353783,1.1182964014757644,82.0909090909091,51.956271576524735
insurance,Fges,1,23.818181818181817,-0.4009275827001522,-13.55824625219339,51.63636363636363,2.909090909090909,48.72727272727273,0.7321818181818182,7.991519649309667,11.145820628082438,46.18181818181818,65.97402597402596
insurance,Fges-faithfulness,1,22.818181818181817,-0.40080995944966696,-13.552389949954403,49.27272727272727,2.909090909090909,46.36363636363637,0.8435454545454545,7.997375951548656,9.656103481171321,47.18181818181818,67.40259740259741
insurance,GES,1,24.90909090909091,-0.4193655637602847,-13.562299224716373,56.90909090909091,4.7272727272727275,52.18181818181818,0.5594545454545454,7.987466676786685,14.334865433342891,45.09090909090909,64.41558441558442
insurance,pGES,2,23.272727272727273,-0.4264974149957928,-13.555298930163472,50.18181818181818,4.909090909090909,45.27272727272727,0.9510000000000001,7.994466971339586,8.44714268272875,46.72727272727273,66.75324675324674
insurance,pGES,4,24.636363636363637,-0.39966550559726366,-13.554393462253682,54.18181818181818,4.909090909090909,49.27272727272727,0.9489090909090908,7.995372439249377,8.43582656379469,45.36363636363637,64.8051948051948
insurance,pGES,8,26.636363636363637,-0.45449825556980966,-13.562069041812515,58.54545454545455,5.2727272727272725,53.27272727272727,1.053,7.9876968596905416,7.62652665418193,43.36363636363637,61.94805194805195
insurance,pGES,16,26.363636363636363,-0.4487876089853062,-13.554927531934915,59.45454545454545,5.818181818181818,53.63636363636363,1.188,7.994838369568143,6.753511675178072,43.63636363636363,62.337662337662344
insurance,pGES-jc,2,24.727272727272727,-0.43108534621216527,-13.566600384107888,52.72727272727273,5.636363636363637,47.09090909090909,1.0357272727272728,7.983165517395168,7.754644555880779,45.27272727272727,64.67532467532467
insurance,pGES-jc,4,24.545454545454547,-0.4297183692826217,-13.559400799482466,52.54545454545455,4.363636363636363,48.18181818181818,0.9747272727272727,7.990365102020593,8.239979470940582,45.45454545454545,64.93506493506493
insurance,pGES-jc,8,23.363636363636363,-0.4400573598494988,-13.551864659168785,50.54545454545455,3.272727272727273,47.27272727272727,1.1392727272727272,7.9979012423342715,7.038702867544515,46.63636363636363,66.62337662337663
insurance,pGES-jc,16,22.818181818181817,-0.4075901919276216,-13.549067464351936,49.45454545454545,2.909090909090909,46.54545454545455,1.192909090909091,8.000698437151122,6.715073106641285,47.18181818181818,67.4025974025974
