algorithm, network, bbdd, threads, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, dfMM minus, Total iterations, Total time(s)
pges-jc,alarm,alarm.xbif50008_,8,8,15,-1,11,-0.41322019529127063,-54256.43188196158,22.0,4.0,18.0,6,1.186
pges-jc,alarm,alarm.xbif50008_,8,8,5,-1,7,-0.42433729884291493,-54211.83652719083,14.0,0.0,14.0,7,1.051
pges-jc,alarm,alarm.xbif50009_,16,16,10,-1,9,-0.4050295002825713,-54449.18019706281,20.0,6.0,14.0,4,1.175
pges-jc,alarm,alarm.xbif50009_,16,16,15,-1,9,-0.4050295002825713,-54449.18019706281,20.0,6.0,14.0,5,1.53
pges-jc,alarm,alarm.xbif50009_,16,16,5,-1,17,-0.4544390463448579,-54891.56907044699,50.0,24.0,26.0,6,1.332
pges-jc,alarm,alarm.xbif50009_,2,2,10,-1,9,-0.4197917256110699,-54449.18019706281,20.0,6.0,14.0,5,1.826
pges-jc,alarm,alarm.xbif50009_,2,2,15,-1,17,-0.4186553039051807,-54733.30599112757,38.0,18.0,20.0,4,2.008
pges-jc,alarm,alarm.xbif50009_,2,2,5,-1,11,-0.4224861483859968,-54638.47346426231,24.0,8.0,16.0,8,2.029
pges-jc,alarm,alarm.xbif50009_,4,4,10,-1,15,-0.44353013924347057,-54977.986455678634,36.0,16.0,20.0,6,1.679
pges-jc,alarm,alarm.xbif50009_,4,4,15,-1,16,-0.4449310374737902,-54812.31532802585,40.0,10.0,30.0,5,1.866
pges-jc,alarm,alarm.xbif50009_,4,4,5,-1,20,-0.400593642657761,-55260.770457125676,54.0,26.0,28.0,7,1.052
pges-jc,alarm,alarm.xbif50009_,8,8,10,-1,14,-0.4058963567748023,-54731.64890162324,34.0,18.0,16.0,5,0.999
pges-jc,alarm,alarm.xbif50009_,8,8,15,-1,9,-0.4253171844134095,-54449.1801970628,20.0,6.0,14.0,4,0.997
pges-jc,alarm,alarm.xbif50009_,8,8,5,-1,16,-0.40042165198660223,-54948.67925646977,34.0,16.0,18.0,8,1.823
pges-jc,alarm,alarm.xbif_,16,16,10,-1,8,-0.38155182574359003,-54082.05112115014,16.0,2.0,14.0,4,1.165
pges-jc,alarm,alarm.xbif_,16,16,15,-1,9,-0.3771090342639871,-54147.7057067948,20.0,6.0,14.0,4,1.411
pges-jc,alarm,alarm.xbif_,16,16,5,-1,16,-0.4254029709310768,-54194.71078261315,34.0,14.0,20.0,6,1.361
pges-jc,alarm,alarm.xbif_,2,2,10,-1,8,-0.4421861521883665,-54097.27571960835,16.0,2.0,14.0,6,2.335
pges-jc,alarm,alarm.xbif_,2,2,15,-1,8,-0.4421831895926583,-54099.12936505862,16.0,2.0,14.0,5,2.181
pges-jc,alarm,alarm.xbif_,2,2,5,-1,17,-0.4426314488795216,-54656.960449348124,40.0,8.0,32.0,8,1.995
pges-jc,alarm,alarm.xbif_,4,4,10,-1,10,-0.44812458231037,-54280.14384257244,22.0,2.0,20.0,5,1.42
pges-jc,alarm,alarm.xbif_,4,4,15,-1,13,-0.40843397370058526,-54170.54417494487,28.0,10.0,18.0,4,1.386
pges-jc,alarm,alarm.xbif_,4,4,5,-1,9,-0.4258948924434913,-54147.705706794804,20.0,6.0,14.0,7,2.233
pges-jc,alarm,alarm.xbif_,8,8,10,-1,9,-0.4258948924434913,-54147.705706794804,20.0,6.0,14.0,5,1.064
pges-jc,alarm,alarm.xbif_,8,8,15,-1,9,-0.3815982032726781,-54147.7057067948,20.0,6.0,14.0,4,1.619
pges-jc,alarm,alarm.xbif_,8,8,5,-1,9,-0.4258948924434913,-54147.705706794804,20.0,6.0,14.0,6,1.002
pges-jc,andes,andes.xbif50001246_,16,16,10,-1,201,-0.5442838039563618,-472244.248208394,428.0,60.0,368.0,8,16.135
pges-jc,andes,andes.xbif50001246_,16,16,15,-1,196,-0.5456749522550995,-472851.69274634414,422.0,70.0,352.0,7,14.744
pges-jc,andes,andes.xbif50001246_,16,16,5,-1,212,-0.5466591999158972,-473483.165292051,450.0,52.0,398.0,11,18.556
pges-jc,andes,andes.xbif50001246_,2,2,10,-1,210,-0.5449703892322805,-473164.9905954546,448.0,54.0,394.0,19,35.957
pges-jc,andes,andes.xbif50001246_,2,2,15,-1,214,-0.544578074304416,-472935.4931534505,464.0,54.0,410.0,16,35.534
pges-jc,andes,andes.xbif50001246_,2,2,5,-1,250,-0.543997275077124,-474846.4961658339,532.0,106.0,426.0,35,41.711
pges-jc,andes,andes.xbif50001246_,4,4,10,-1,227,-0.5465326924471952,-473315.1617172972,482.0,86.0,396.0,12,17.251
pges-jc,andes,andes.xbif50001246_,4,4,15,-1,192,-0.5449548587249634,-472561.164068518,410.0,46.0,364.0,11,18.441
pges-jc,andes,andes.xbif50001246_,4,4,5,-1,264,-0.5466276176788604,-474628.831084528,564.0,128.0,436.0,24,22.852
pges-jc,andes,andes.xbif50001246_,8,8,10,-1,195,-0.5449803010065017,-472794.21402616036,422.0,32.0,390.0,10,14.893
pges-jc,andes,andes.xbif50001246_,8,8,15,-1,184,-0.546420615079785,-472128.2937822695,394.0,34.0,360.0,8,13.042
pges-jc,andes,andes.xbif50001246_,8,8,5,-1,238,-0.5422939166619624,-473514.3686569552,508.0,70.0,438.0,15,15.811
pges-jc,andes,andes.xbif50001_,16,16,10,-1,154,-0.5455479378824928,-472155.0979287002,336.0,10.0,326.0,8,17.491
pges-jc,andes,andes.xbif50001_,16,16,15,-1,156,-0.5454015020304825,-472377.85264419165,338.0,6.0,332.0,8,17.1
pges-jc,andes,andes.xbif50001_,16,16,5,-1,174,-0.5466405463687443,-473288.6587419526,378.0,16.0,362.0,11,18.437
pges-jc,andes,andes.xbif50001_,2,2,10,-1,200,-0.5466505275582466,-473264.08211387775,428.0,38.0,390.0,19,35.515
pges-jc,andes,andes.xbif50001_,2,2,15,-1,199,-0.5465615758588886,-473400.48752012406,424.0,58.0,366.0,14,33.581
pges-jc,andes,andes.xbif50001_,2,2,5,-1,274,-0.5436968299915902,-475888.4913682041,582.0,140.0,442.0,36,41.259
pges-jc,andes,andes.xbif50001_,4,4,10,-1,187,-0.5466305035616571,-472748.4626816838,400.0,42.0,358.0,14,21.895
pges-jc,andes,andes.xbif50001_,4,4,15,-1,166,-0.5449694693575363,-472969.88446031755,358.0,20.0,338.0,10,17.692
pges-jc,andes,andes.xbif50001_,4,4,5,-1,213,-0.5466237367834343,-473779.3506882158,462.0,54.0,408.0,23,20.89
pges-jc,andes,andes.xbif50001_,8,8,10,-1,164,-0.5449909201740313,-472178.3360318741,356.0,0.0,356.0,9,13.579
pges-jc,andes,andes.xbif50001_,8,8,15,-1,171,-0.542856513767944,-472651.21713953,370.0,26.0,344.0,10,15.072
pges-jc,andes,andes.xbif50001_,8,8,5,-1,209,-0.5449903557795387,-473632.7006358815,448.0,48.0,400.0,16,16.841
pges-jc,andes,andes.xbif50002_,16,16,10,-1,145,-0.5463835175573221,-472158.98595111707,312.0,2.0,310.0,7,13.629
pges-jc,andes,andes.xbif50002_,16,16,15,-1,171,-0.5437607081613521,-472930.4925687759,364.0,36.0,328.0,7,15.36
pges-jc,andes,andes.xbif50002_,16,16,5,-1,170,-0.5449291035359234,-472938.16558472934,378.0,62.0,316.0,11,18.836
pges-jc,andes,andes.xbif50002_,2,2,10,-1,179,-0.5454950815155242,-472782.62494476105,386.0,60.0,326.0,20,38.943
pges-jc,andes,andes.xbif50002_,2,2,15,-1,173,-0.5422690289179903,-472430.9481924636,370.0,36.0,334.0,15,36.735
pges-jc,andes,andes.xbif50002_,2,2,5,-1,282,-0.5422302182308569,-475879.93160360056,602.0,192.0,410.0,38,45.899
pges-jc,andes,andes.xbif50002_,4,4,10,-1,159,-0.5448458879263771,-472672.67460924474,342.0,24.0,318.0,13,17.135
pges-jc,andes,andes.xbif50002_,4,4,15,-1,169,-0.5449972071285353,-473077.5398494542,372.0,32.0,340.0,9,15.094
pges-jc,andes,andes.xbif50002_,4,4,5,-1,215,-0.5449342405279666,-473637.59536475793,462.0,98.0,364.0,23,24.71
pges-jc,andes,andes.xbif50002_,8,8,10,-1,163,-0.5455649749749066,-472388.2327878244,356.0,40.0,316.0,9,12.845
pges-jc,andes,andes.xbif50002_,8,8,15,-1,159,-0.5484954183976143,-472523.98969496175,340.0,34.0,306.0,8,11.674
pges-jc,andes,andes.xbif50002_,8,8,5,-1,215,-0.5466408090020917,-474387.7067780506,458.0,72.0,386.0,17,19.079
pges-jc,andes,andes.xbif50003_,16,16,10,-1,189,-0.5469984981008266,-471930.49166648585,408.0,34.0,374.0,8,15.668
pges-jc,andes,andes.xbif50003_,16,16,15,-1,172,-0.5430922697259566,-471440.6995612823,372.0,36.0,336.0,8,16.546
pges-jc,andes,andes.xbif50003_,16,16,5,-1,187,-0.5484036468874083,-472088.8829024482,400.0,36.0,364.0,12,19.766
pges-jc,andes,andes.xbif50003_,2,2,10,-1,189,-0.5448984181464411,-471691.98487200274,402.0,56.0,346.0,20,44.009
pges-jc,andes,andes.xbif50003_,2,2,15,-1,185,-0.5462406726519903,-471309.9021680465,394.0,40.0,354.0,14,41.368
pges-jc,andes,andes.xbif50003_,2,2,5,-1,230,-0.546548815046224,-472804.6339305394,484.0,90.0,394.0,36,47.802
pges-jc,andes,andes.xbif50003_,4,4,10,-1,193,-0.5449800496649927,-471617.65678714926,410.0,38.0,372.0,13,18.545
pges-jc,andes,andes.xbif50003_,4,4,15,-1,177,-0.5449766438760388,-471137.45382877695,378.0,22.0,356.0,11,16.187
pges-jc,andes,andes.xbif50003_,4,4,5,-1,225,-0.5449029843346858,-473749.9427412875,478.0,72.0,406.0,23,25.119
