algorithm,network,bbdd,threads,pges_threads,interleaving,seed,SHD,loglike,bdeu,deltaMM,deltaMM+,deltaMM-,iterations,time(s)
pges-jc,alarm,alarm.xbif50006_,8,8,15,-1,7,-0.44280382810443364,-53801.20419470125,14.0,0.0,14.0,5,1.198
pges-jc,alarm,alarm.xbif50006_,8,8,5,-1,10,-0.43633032055439464,-53901.19904018826,22.0,6.0,16.0,7,1.283
pges-jc,alarm,alarm.xbif50007_,16,16,10,-1,7,-0.4276327075530899,-53649.90710812798,14.0,0.0,14.0,6,1.254
pges-jc,alarm,alarm.xbif50007_,16,16,15,-1,7,-0.39442450654288547,-53649.90710812798,14.0,0.0,14.0,4,1.233
pges-jc,alarm,alarm.xbif50007_,16,16,5,-1,17,-0.43062334865572377,-54346.8994704349,38.0,18.0,20.0,6,1.253
pges-jc,alarm,alarm.xbif50007_,2,2,10,-1,7,-0.4305100645481988,-53649.90710812798,14.0,0.0,14.0,6,2.257
pges-jc,alarm,alarm.xbif50007_,2,2,15,-1,7,-0.42008957799217583,-53649.90710812798,14.0,0.0,14.0,6,2.272
pges-jc,alarm,alarm.xbif50007_,2,2,5,-1,7,-0.4501502241214796,-53649.90710812798,14.0,0.0,14.0,10,2.624
pges-jc,alarm,alarm.xbif50007_,4,4,10,-1,7,-0.42008957799217583,-53649.90710812798,14.0,0.0,14.0,5,1.063
pges-jc,alarm,alarm.xbif50007_,4,4,15,-1,7,-0.4342757832257806,-53649.90710812798,14.0,0.0,14.0,5,1.117
pges-jc,alarm,alarm.xbif50007_,4,4,5,-1,7,-0.43306027741092257,-53649.90710812798,14.0,0.0,14.0,7,1.209
pges-jc,alarm,alarm.xbif50007_,8,8,10,-1,7,-0.42008957799217583,-53649.90710812798,14.0,0.0,14.0,5,1.444
pges-jc,alarm,alarm.xbif50007_,8,8,15,-1,7,-0.40908503784476996,-53649.90710812798,14.0,0.0,14.0,5,1.163
pges-jc,alarm,alarm.xbif50007_,8,8,5,-1,11,-0.43304990350251255,-53685.07575044631,22.0,4.0,18.0,7,1.059
pges-jc,alarm,alarm.xbif50008_,16,16,10,-1,8,-0.41075519159024204,-54293.52913182975,18.0,4.0,14.0,5,1.291
pges-jc,alarm,alarm.xbif50008_,16,16,15,-1,10,-0.4261124810396764,-54267.28478492948,24.0,2.0,22.0,5,1.25
pges-jc,alarm,alarm.xbif50008_,16,16,5,-1,13,-0.43195132982223033,-54478.44519455585,36.0,18.0,18.0,6,1.264
pges-jc,alarm,alarm.xbif50008_,2,2,10,-1,7,-0.41878474254052006,-54227.40175603595,14.0,0.0,14.0,6,2.248
pges-jc,alarm,alarm.xbif50008_,2,2,15,-1,9,-0.41106853531992593,-54392.87852286402,20.0,6.0,14.0,4,1.875
pges-jc,alarm,alarm.xbif50008_,2,2,5,-1,7,-0.4275077211085277,-54190.362977274075,14.0,0.0,14.0,8,2.39
pges-jc,alarm,alarm.xbif50008_,4,4,10,-1,10,-0.4299287572414802,-54267.28478492948,24.0,2.0,22.0,8,1.712
pges-jc,alarm,alarm.xbif50008_,4,4,15,-1,7,-0.40470996714094953,-54211.83652719083,14.0,0.0,14.0,5,1.101
pges-jc,alarm,alarm.xbif50008_,4,4,5,-1,7,-0.41778724836667946,-54251.488222740176,14.0,0.0,14.0,8,2.005
pges-jc,alarm,alarm.xbif50008_,8,8,10,-1,10,-0.4299287572414802,-54267.28478492948,24.0,2.0,22.0,8,1.213
pges-jc,alarm,alarm.xbif50008_,8,8,15,-1,7,-0.4132305691996807,-54217.76786977113,14.0,0.0,14.0,7,1.418
