algorith, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
pges,res/networks/child,child.xbif50001_,1,10,17,2,-0.6502329163715962,-62656.96605659265,0.2,0.0,4.0,6,0
phc,res/networks/child,child.xbif50001_,1,10,17,9,-0.6003020687177569,-63849.32234532488,1.2,16.0,8.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,1,10,19,2,-0.6680503994722604,-62873.02112027142,0.2,0.0,4.0,4,0
pges,res/networks/child,child.xbif50001_,1,10,19,2,-0.6502329163715962,-62656.96605659265,0.2,0.0,4.0,6,0
phc,res/networks/child,child.xbif50001_,1,10,19,2,-0.6680503994722604,-62873.02112027142,0.2,0.0,4.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,1,10,23,9,-0.6021930905724409,-63413.22849694797,1.3,20.0,6.0,4,0
pges,res/networks/child,child.xbif50001_,1,10,23,2,-0.6502329163715962,-62656.96605659265,0.2,0.0,4.0,6,0
phc,res/networks/child,child.xbif50001_,1,10,23,9,-0.6021930905724409,-63413.22849694797,1.3,20.0,6.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,1,10,29,5,-0.6444121681142074,-63273.71447531816,0.7,10.0,4.0,4,0
pges,res/networks/child,child.xbif50001_,1,10,29,2,-0.6502329163715962,-62656.96605659265,0.2,0.0,4.0,6,0
phc,res/networks/child,child.xbif50001_,1,10,29,5,-0.6444121681142074,-63273.71447531816,0.7,10.0,4.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,2,10,2,5,-0.6586935340911448,-62741.90965593455,0.6,6.0,6.0,8,0
pges,res/networks/child,child.xbif50001_,2,10,2,2,-0.6710384773858773,-62873.02112027142,0.2,0.0,4.0,5,0
phc,res/networks/child,child.xbif50001_,2,10,2,5,-0.7391544346886922,-62741.90965593455,0.6,6.0,6.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,2,10,3,6,-0.6738046485049176,-63043.15415685939,0.8,10.0,6.0,5,0
pges,res/networks/child,child.xbif50001_,2,10,3,2,-0.657658355106613,-62656.96605659265,0.2,0.0,4.0,6,0
phc,res/networks/child,child.xbif50001_,2,10,3,6,-0.671317418348039,-63043.15415685938,0.8,10.0,6.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,2,10,5,11,-0.6282209576254506,-63753.29953859581,1.5,16.0,14.0,7,0
pges,res/networks/child,child.xbif50001_,2,10,5,9,-0.623934823883381,-63654.6727501041,1.1,10.0,12.0,6,0
phc,res/networks/child,child.xbif50001_,2,10,5,8,-0.6280712608098244,-63617.68088398999,1.1,10.0,12.0,5,0
pfhcbes,res/networks/child,child.xbif50001_,2,10,7,6,-0.6982477775044249,-63616.14222443959,0.9,12.0,6.0,4,0
pges,res/networks/child,child.xbif50001_,2,10,7,5,-0.6987033950309768,-62693.864314078804,0.6,2.0,10.0,6,0
phc,res/networks/child,child.xbif50001_,2,10,7,6,-0.6188105264865633,-63782.517073190895,1.0,14.0,6.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,2,10,11,6,-0.6621149737013341,-62892.85710962837,0.7,8.0,6.0,8,0
pges,res/networks/child,child.xbif50001_,2,10,11,5,-0.5902874892018799,-62693.864314078804,0.6,2.0,10.0,6,0
phc,res/networks/child,child.xbif50001_,2,10,11,5,-0.6875466006331494,-62805.07760155588,0.5,4.0,6.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,2,10,13,2,-0.6376382983429534,-62873.02112027142,0.2,0.0,4.0,6,0
pges,res/networks/child,child.xbif50001_,2,10,13,4,-0.5511328706723059,-62706.18070903498,0.4,2.0,6.0,5,0
phc,res/networks/child,child.xbif50001_,2,10,13,2,-0.6867362495390805,-62873.02112027142,0.2,0.0,4.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,2,10,17,5,-0.6707259553887837,-62908.534851333425,0.6,6.0,6.0,6,0
pges,res/networks/child,child.xbif50001_,2,10,17,4,-0.6588669834376751,-62706.18070903498,0.4,2.0,6.0,5,0
phc,res/networks/child,child.xbif50001_,2,10,17,6,-0.6596774965957553,-62792.76120659968,0.7,4.0,10.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,2,10,19,7,-0.6757731587378791,-64113.24557579874,0.8,8.0,8.0,3,0
pges,res/networks/child,child.xbif50001_,2,10,19,5,-0.6722984160584013,-62693.8643140788,0.6,2.0,10.0,6,0
phc,res/networks/child,child.xbif50001_,2,10,19,5,-0.708708189567836,-63007.425209959816,0.6,6.0,6.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,2,10,23,6,-0.6090104511161107,-64037.45410276652,0.7,8.0,6.0,4,0
pges,res/networks/child,child.xbif50001_,2,10,23,2,-0.6467000019062996,-62656.96605659265,0.2,0.0,4.0,5,0
phc,res/networks/child,child.xbif50001_,2,10,23,10,-0.761382893702151,-64264.51853589858,1.1,12.0,10.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,2,10,29,4,-0.7154837026835306,-63236.678406264175,0.5,6.0,4.0,6,0
pges,res/networks/child,child.xbif50001_,2,10,29,4,-0.6705481360770282,-62706.18070903498,0.4,2.0,6.0,5,0
phc,res/networks/child,child.xbif50001_,2,10,29,6,-0.6037337896698314,-63600.27520379047,0.8,12.0,4.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,4,10,2,5,-0.6999947536985429,-63464.10993610892,0.6,6.0,6.0,6,0
pges,res/networks/child,child.xbif50001_,4,10,2,6,-0.6315920004856916,-63692.99773646505,0.7,4.0,10.0,4,0
phc,res/networks/child,child.xbif50001_,4,10,2,5,-0.6999947536985429,-63464.10993610892,0.6,6.0,6.0,4,0
