algorithm,network,bbdd,threads,pges_threads,interleaving,seed,SHD,loglike,bdeu,deltaMM,deltaMM+,deltaMM-,iterations,time(s)
pges-jc,alarm,alarm.xbif50007_,4,4,5,-1,10,-0.4306782132103843,-53777.63523651134,22.0,6.0,16.0,8,1.482
pges-jc,alarm,alarm.xbif50007_,8,8,10,-1,7,-0.43372588925083233,-53649.90710812798,14.0,0.0,14.0,5,0.966
pges-jc,alarm,alarm.xbif50007_,8,8,15,-1,10,-0.3852388238181658,-53762.449525762284,22.0,6.0,16.0,5,1.021
pges-jc,alarm,alarm.xbif50007_,8,8,5,-1,7,-0.4281733329484375,-53665.09281887704,14.0,0.0,14.0,8,1.152
pges-jc,alarm,alarm.xbif50008_,16,16,10,-1,13,-0.41860063000636477,-54462.87996571073,36.0,18.0,18.0,4,1.187
pges-jc,alarm,alarm.xbif50008_,16,16,15,-1,9,-0.42340530079733896,-54392.87852286402,20.0,6.0,14.0,4,1.131
pges-jc,alarm,alarm.xbif50008_,16,16,5,-1,14,-0.44287758089743867,-54556.3169972661,38.0,14.0,24.0,6,1.234
pges-jc,alarm,alarm.xbif50008_,2,2,10,-1,11,-0.426495844342084,-54369.6125375337,26.0,10.0,16.0,6,2.386
pges-jc,alarm,alarm.xbif50008_,2,2,15,-1,11,-0.4270557860746006,-54435.57552734751,30.0,12.0,18.0,5,2.273
pges-jc,alarm,alarm.xbif50008_,2,2,5,-1,7,-0.4184528602065891,-54251.488222740176,14.0,0.0,14.0,9,2.529
pges-jc,alarm,alarm.xbif50008_,4,4,10,-1,10,-0.4393513179092223,-54291.371251633704,24.0,2.0,22.0,7,1.434
pges-jc,alarm,alarm.xbif50008_,4,4,15,-1,13,-0.4276330746407131,-54462.87996571073,36.0,18.0,18.0,4,1.006
pges-jc,alarm,alarm.xbif50008_,4,4,5,-1,13,-0.43361443583598064,-54454.35872785162,36.0,18.0,18.0,7,1.449
pges-jc,alarm,alarm.xbif50008_,8,8,10,-1,14,-0.4458799243371098,-54540.75176842098,38.0,14.0,24.0,5,1.002
pges-jc,alarm,alarm.xbif50008_,8,8,15,-1,15,-0.41743559441674616,-54678.26236025405,40.0,18.0,22.0,5,0.98
pges-jc,alarm,alarm.xbif50008_,8,8,5,-1,13,-0.43361443583598064,-54454.35872785162,36.0,18.0,18.0,7,1.052
pges-jc,alarm,alarm.xbif50009_,16,16,10,-1,10,-0.4329430141011903,-54408.8574291734,24.0,8.0,16.0,7,1.425
pges-jc,alarm,alarm.xbif50009_,16,16,15,-1,12,-0.45083851771519234,-54558.00563434504,28.0,10.0,18.0,6,1.293
pges-jc,alarm,alarm.xbif50009_,2,2,10,-1,11,-0.4386925206135674,-54472.259034650364,28.0,12.0,16.0,8,2.604
pges-jc,alarm,alarm.xbif50009_,2,2,15,-1,11,-0.42110084790188756,-54655.188254893015,24.0,10.0,14.0,7,2.445
pges-jc,alarm,alarm.xbif50009_,2,2,5,-1,10,-0.449445472675362,-54384.53986798889,22.0,6.0,16.0,9,2.642
pges-jc,alarm,alarm.xbif50009_,4,4,10,-1,17,-0.42361938327213605,-54614.931426151285,40.0,18.0,22.0,6,1.432
pges-jc,alarm,alarm.xbif50009_,4,4,15,-1,15,-0.46687092374968114,-54655.94389459389,30.0,12.0,18.0,7,1.746
pges-jc,alarm,alarm.xbif50009_,4,4,5,-1,10,-0.449445472675362,-54384.53986798889,22.0,6.0,16.0,9,1.429
pges-jc,alarm,alarm.xbif50009_,8,8,10,-1,8,-0.44477905826057523,-54400.36278010607,18.0,4.0,14.0,8,1.215
pges-jc,alarm,alarm.xbif50009_,8,8,15,-1,13,-0.40717522980881093,-54637.39810859349,28.0,14.0,14.0,7,1.261
pges-jc,alarm,alarm.xbif50009_,8,8,5,-1,10,-0.4308167108678995,-54371.21835907506,22.0,6.0,16.0,9,1.098
pges-jc,alarm,alarm.xbif_,16,16,10,-1,15,-0.40267595149431396,-54183.27232684472,34.0,14.0,20.0,4,1.169
pges-jc,alarm,alarm.xbif_,16,16,15,-1,9,-0.3990803853076938,-54158.4705993091,20.0,6.0,14.0,5,1.175
pges-jc,alarm,alarm.xbif_,16,16,5,-1,21,-0.4317170947945529,-54486.10734190542,48.0,28.0,20.0,7,1.377
pges-jc,alarm,alarm.xbif_,2,2,10,-1,14,-0.4366308844351844,-54236.843384978594,30.0,12.0,18.0,7,2.285
pges-jc,alarm,alarm.xbif_,2,2,15,-1,10,-0.37970713040826465,-53993.61482132825,20.0,4.0,16.0,7,2.11
pges-jc,alarm,alarm.xbif_,2,2,5,-1,10,-0.4362307695127792,-54049.20393320403,22.0,6.0,16.0,8,2.218
pges-jc,alarm,alarm.xbif_,4,4,10,-1,11,-0.42349087865819607,-54293.5393430327,22.0,6.0,16.0,5,1.609
pges-jc,alarm,alarm.xbif_,4,4,15,-1,17,-0.41552763577666824,-54274.84307005656,38.0,14.0,24.0,5,1.544
pges-jc,alarm,alarm.xbif_,4,4,5,-1,10,-0.4215119509419324,-54139.27373217772,24.0,6.0,18.0,8,1.961
pges-jc,alarm,alarm.xbif_,8,8,10,-1,9,-0.4144605162764945,-54170.78723336298,20.0,6.0,14.0,5,0.965
pges-jc,alarm,alarm.xbif_,8,8,15,-1,14,-0.4408327169668739,-54268.73486672832,32.0,14.0,18.0,5,1.063
pges-jc,alarm,alarm.xbif_,8,8,5,-1,13,-0.43521152643818917,-54256.27111677468,28.0,10.0,18.0,7,1.144
pges-jc,andes,andes.xbif50001246_,16,16,10,-1,179,-0.5455463771535812,-471792.3220755498,384.0,28.0,356.0,12,15.314
pges-jc,andes,andes.xbif50001246_,16,16,15,-1,168,-0.5455507609547631,-471904.68538773374,364.0,20.0,344.0,12,15.341
pges-jc,andes,andes.xbif50001246_,16,16,5,-1,246,-0.5470943939118038,-473951.8021064467,580.0,206.0,374.0,14,16.396
pges-jc,andes,andes.xbif50001246_,2,2,10,-1,197,-0.5439988914797428,-472908.9960865166,432.0,70.0,362.0,26,25.76
pges-jc,andes,andes.xbif50001246_,2,2,15,-1,204,-0.5463437390720691,-472834.1641887556,450.0,98.0,352.0,18,21.997
pges-jc,andes,andes.xbif50001246_,2,2,5,-1,219,-0.5476100073835967,-473596.5683730856,528.0,166.0,362.0,47,36.481
pges-jc,andes,andes.xbif50001246_,4,4,10,-1,190,-0.5462813792969229,-473298.0281858066,424.0,74.0,350.0,19,17.445
pges-jc,andes,andes.xbif50001246_,4,4,15,-1,200,-0.5463329138571201,-472731.5012731085,446.0,100.0,346.0,14,16.024
pges-jc,andes,andes.xbif50001246_,4,4,5,-1,276,-0.545829176995017,-474880.07616969344,630.0,236.0,394.0,28,21.066
pges-jc,andes,andes.xbif50001246_,8,8,10,-1,182,-0.5488401344017674,-472444.27430357225,400.0,42.0,358.0,12,11.79
pges-jc,andes,andes.xbif50001246_,8,8,15,-1,178,-0.5393914262889891,-472278.7523603973,390.0,32.0,358.0,10,10.631
pges-jc,andes,andes.xbif50001246_,8,8,5,-1,201,-0.5450232565690785,-473761.00264659734,436.0,84.0,352.0,24,19.782
pges-jc,andes,andes.xbif50001_,16,16,10,-1,164,-0.5430498180048342,-472345.8094069493,356.0,4.0,352.0,11,13.698
pges-jc,andes,andes.xbif50001_,16,16,15,-1,150,-0.5424227124663846,-472060.64541782765,326.0,0.0,326.0,12,15.473
pges-jc,andes,andes.xbif50001_,16,16,5,-1,184,-0.5456800686288436,-473198.4348753994,424.0,96.0,328.0,26,31.349
pges-jc,andes,andes.xbif50001_,2,2,10,-1,221,-0.5406091043347305,-474342.9029304802,522.0,172.0,350.0,25,27.22
pges-jc,andes,andes.xbif50001_,2,2,15,-1,181,-0.5436720736840733,-472996.6279781673,402.0,62.0,340.0,20,24.614
pges-jc,andes,andes.xbif50001_,2,2,5,-1,191,-0.5426306186352428,-473261.051525533,452.0,108.0,344.0,47,34.801
pges-jc,andes,andes.xbif50001_,4,4,10,-1,252,-0.5341548833174624,-474696.82900797663,608.0,240.0,368.0,15,15.576
pges-jc,andes,andes.xbif50001_,4,4,15,-1,177,-0.5446856316409969,-473000.2805034619,382.0,38.0,344.0,21,17.029
pges-jc,andes,andes.xbif50001_,4,4,5,-1,191,-0.5480763134120783,-473581.286988515,454.0,108.0,346.0,32,22.262
pges-jc,andes,andes.xbif50001_,8,8,10,-1,179,-0.5463332701460349,-472852.3660903631,402.0,72.0,330.0,16,14.165
pges-jc,andes,andes.xbif50001_,8,8,15,-1,154,-0.547768354080261,-472201.9887433283,336.0,10.0,326.0,9,9.695
pges-jc,andes,andes.xbif50001_,8,8,5,-1,205,-0.546346825798646,-473710.9760752023,456.0,106.0,350.0,25,20.174
pges-jc,andes,andes.xbif50002_,16,16,10,-1,146,-0.5463938113919137,-472271.22722517396,316.0,8.0,308.0,12,15.34
pges-jc,andes,andes.xbif50002_,16,16,15,-1,141,-0.5431436087383325,-472124.08510613634,304.0,10.0,294.0,8,11.42
pges-jc,andes,andes.xbif50002_,16,16,5,-1,164,-0.5436967825932882,-472845.19501652895,358.0,52.0,306.0,16,18.24
pges-jc,andes,andes.xbif50002_,2,2,10,-1,185,-0.5486446981045776,-473678.76972488104,430.0,124.0,306.0,26,29.107
pges-jc,andes,andes.xbif50002_,2,2,15,-1,176,-0.5473703558526732,-473184.2027852297,404.0,92.0,312.0,18,26.348
pges-jc,andes,andes.xbif50002_,2,2,5,-1,222,-0.5416934521805207,-475211.81458750996,546.0,238.0,308.0,46,34.089
pges-jc,andes,andes.xbif50002_,4,4,10,-1,152,-0.5466586118390122,-472411.87542403606,334.0,38.0,296.0,18,17.281
pges-jc,andes,andes.xbif50002_,4,4,15,-1,177,-0.54490023285364,-473075.7331470317,398.0,100.0,298.0,18,17.652
pges-jc,andes,andes.xbif50002_,4,4,5,-1,186,-0.5444489690127541,-473632.3018132043,422.0,102.0,320.0,27,19.445
pges-jc,andes,andes.xbif50002_,8,8,10,-1,164,-0.5468676895168822,-473339.7927024305,372.0,56.0,316.0,14,13.507
pges-jc,andes,andes.xbif50002_,8,8,15,-1,155,-0.5462837099434288,-472425.1646680342,332.0,32.0,300.0,12,11.406
pges-jc,andes,andes.xbif50002_,8,8,5,-1,189,-0.5454555914124278,-473659.2762978914,440.0,120.0,320.0,19,15.929
pges-jc,andes,andes.xbif50003_,16,16,10,-1,159,-0.5470108813761315,-471076.00805212336,346.0,20.0,326.0,11,14.061
pges-jc,andes,andes.xbif50003_,16,16,15,-1,160,-0.547338565589661,-471201.0493476953,344.0,10.0,334.0,9,12.15
pges-jc,andes,andes.xbif50003_,16,16,5,-1,176,-0.5428025325628039,-471928.92818546836,388.0,60.0,328.0,17,19.047
pges-jc,andes,andes.xbif50003_,2,2,10,-1,224,-0.5407244143217226,-473500.21355828043,516.0,164.0,352.0,26,30.871
pges-jc,andes,andes.xbif50003_,2,2,15,-1,185,-0.5464168837529834,-472329.63888655533,402.0,62.0,340.0,21,30.297
pges-jc,andes,andes.xbif50003_,2,2,5,-1,191,-0.544280917361976,-472259.12792389,428.0,86.0,342.0,52,39.477
pges-jc,andes,andes.xbif50003_,4,4,10,-1,219,-0.5426569093665041,-473106.98211067886,492.0,142.0,350.0,16,15.706
pges-jc,andes,andes.xbif50003_,4,4,15,-1,177,-0.546902114323502,-471427.24627568456,380.0,42.0,338.0,18,16.956
pges-jc,andes,andes.xbif50003_,4,4,5,-1,202,-0.5405716461366555,-473128.93214728613,440.0,104.0,336.0,30,21.123
pges-jc,andes,andes.xbif50003_,8,8,10,-1,191,-0.5400505216879441,-472205.63645213697,416.0,68.0,348.0,13,13.074
pges-jc,andes,andes.xbif50003_,8,8,15,-1,172,-0.5440690602741818,-471429.33952766785,368.0,32.0,336.0,14,13.068
pges-jc,andes,andes.xbif50003_,8,8,5,-1,186,-0.548040179316761,-472126.52673286287,404.0,68.0,336.0,25,21.062
pges-jc,andes,andes.xbif50004_,16,16,10,-1,161,-0.5469566179542459,-471483.0867275986,352.0,34.0,318.0,12,15.977
pges-jc,andes,andes.xbif50004_,16,16,15,-1,154,-0.543728471514991,-471218.14573695185,332.0,14.0,318.0,8,11.133
pges-jc,andes,andes.xbif50004_,16,16,5,-1,157,-0.5449534683197064,-471320.90675054555,338.0,20.0,318.0,18,20.732
pges-jc,andes,andes.xbif50004_,2,2,10,-1,183,-0.5424042321485866,-472504.8575035067,418.0,110.0,308.0,26,31.07
pges-jc,andes,andes.xbif50004_,2,2,15,-1,171,-0.5464982952280389,-471829.9723732321,366.0,48.0,318.0,19,29.297
pges-jc,andes,andes.xbif50004_,2,2,5,-1,231,-0.5426519929978657,-474068.14632253104,550.0,220.0,330.0,46,36.681
pges-jc,andes,andes.xbif50004_,4,4,10,-1,185,-0.5402107872008615,-472066.8815318523,412.0,92.0,320.0,20,20.692
pges-jc,andes,andes.xbif50004_,4,4,15,-1,170,-0.5466891380468057,-471762.6847714462,376.0,58.0,318.0,17,21.853
pges-jc,andes,andes.xbif50004_,4,4,5,-1,174,-0.5440068782619846,-471980.021185899,382.0,74.0,308.0,31,24.586
pges-jc,andes,andes.xbif50004_,8,8,10,-1,159,-0.5426960133676224,-471419.6216595398,344.0,36.0,308.0,14,13.343
pges-jc,andes,andes.xbif50004_,8,8,15,-1,153,-0.5472864263132728,-471214.26883396506,328.0,10.0,318.0,9,9.423
pges-jc,andes,andes.xbif50004_,8,8,5,-1,191,-0.5452193980623133,-472324.8779618957,428.0,110.0,318.0,24,20.365
pges-jc,andes,andes.xbif50005_,16,16,10,-1,173,-0.5469694479866463,-472565.53425927804,382.0,54.0,328.0,13,16.099
pges-jc,andes,andes.xbif50005_,16,16,15,-1,152,-0.5469806408564453,-471849.60697397194,326.0,6.0,320.0,12,15.388
pges-jc,andes,andes.xbif50005_,16,16,5,-1,190,-0.5469404739818515,-473044.4190710928,424.0,86.0,338.0,19,22.458
pges-jc,andes,andes.xbif50005_,2,2,10,-1,198,-0.5435027015749735,-473436.20731186896,438.0,98.0,340.0,29,30.963
pges-jc,andes,andes.xbif50005_,2,2,15,-1,190,-0.544821586402513,-472925.1066461432,424.0,88.0,336.0,19,26.12
pges-jc,andes,andes.xbif50005_,2,2,5,-1,202,-0.5481349056964707,-473490.5942608332,454.0,112.0,342.0,50,36.701
pges-jc,andes,andes.xbif50005_,4,4,10,-1,196,-0.5469547201724279,-472988.12831466086,432.0,88.0,344.0,19,17.406
pges-jc,andes,andes.xbif50005_,4,4,15,-1,196,-0.5463858239201068,-472841.6281789653,438.0,94.0,344.0,15,15.104
pges-jc,andes,andes.xbif50005_,4,4,5,-1,227,-0.5466288643528061,-474593.9433769154,538.0,164.0,374.0,33,23.863
pges-jc,andes,andes.xbif50005_,8,8,10,-1,169,-0.5463803004458871,-472552.79565210297,376.0,54.0,322.0,15,14.962
