algorithm,network,bbdd,threads,threadsPGES,interleaving,seed,SHD,LL Score,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s)
ges,alarm,alarm.xbif50005_,8,0,0,-1,9,-0.4111505947122006,-55449.22311701622,18.0,2.0,16.0,1,0.841
ges,alarm,alarm.xbif50006_,16,0,0,-1,8,-0.4012208305465886,-53866.02972982633,16.0,2.0,14.0,1,1.061
ges,alarm,alarm.xbif50006_,1,0,0,-1,8,-0.4012208305465886,-53866.02972982633,16.0,2.0,14.0,1,1.814
ges,alarm,alarm.xbif50006_,2,0,0,-1,8,-0.4012208305465886,-53866.02972982633,16.0,2.0,14.0,1,0.965
ges,alarm,alarm.xbif50006_,4,0,0,-1,8,-0.4012208305465886,-53866.02972982633,16.0,2.0,14.0,1,1.211
ges,alarm,alarm.xbif50006_,8,0,0,-1,8,-0.4012208305465886,-53866.02972982633,16.0,2.0,14.0,1,0.824
ges,alarm,alarm.xbif50007_,16,0,0,-1,8,-0.40119923205301283,-53710.46710357718,16.0,2.0,14.0,1,0.984
ges,alarm,alarm.xbif50007_,1,0,0,-1,8,-0.40119923205301283,-53710.46710357718,16.0,2.0,14.0,1,2.016
ges,alarm,alarm.xbif50007_,2,0,0,-1,8,-0.40119923205301283,-53710.46710357718,16.0,2.0,14.0,1,1.023
ges,alarm,alarm.xbif50007_,4,0,0,-1,8,-0.40119923205301283,-53710.46710357718,16.0,2.0,14.0,1,1.107
ges,alarm,alarm.xbif50007_,8,0,0,-1,8,-0.40119923205301283,-53710.46710357718,16.0,2.0,14.0,1,1.125
ges,alarm,alarm.xbif50008_,16,0,0,-1,9,-0.41112899621862475,-55071.68247971547,18.0,2.0,16.0,1,1.102
ges,alarm,alarm.xbif50008_,1,0,0,-1,9,-0.41112899621862475,-55071.68247971547,18.0,2.0,16.0,1,1.845
ges,alarm,alarm.xbif50008_,2,0,0,-1,9,-0.41112899621862475,-55071.68247971547,18.0,2.0,16.0,1,0.93
ges,alarm,alarm.xbif50008_,4,0,0,-1,9,-0.41112899621862475,-55071.68247971547,18.0,2.0,16.0,1,1.153
ges,alarm,alarm.xbif50008_,8,0,0,-1,9,-0.41112899621862475,-55071.68247971547,18.0,2.0,16.0,1,1.19
ges,alarm,alarm.xbif50009_,16,0,0,-1,9,-0.4102023100205937,-54449.18019706279,20.0,6.0,14.0,1,0.864
ges,alarm,alarm.xbif50009_,1,0,0,-1,9,-0.4102023100205937,-54449.18019706279,20.0,6.0,14.0,1,1.837
ges,alarm,alarm.xbif50009_,2,0,0,-1,9,-0.4102023100205937,-54449.18019706279,20.0,6.0,14.0,1,1.029
ges,alarm,alarm.xbif50009_,4,0,0,-1,9,-0.4102023100205937,-54449.18019706279,20.0,6.0,14.0,1,1.156
ges,alarm,alarm.xbif50009_,8,0,0,-1,9,-0.4102023100205937,-54449.18019706279,20.0,6.0,14.0,1,1.0
ges,alarm,alarm.xbif_,16,0,0,-1,8,-0.41114798185840773,-54082.051121150136,16.0,2.0,14.0,1,1.016
ges,alarm,alarm.xbif_,1,0,0,-1,8,-0.41114798185840773,-54082.051121150136,16.0,2.0,14.0,1,2.798
ges,alarm,alarm.xbif_,2,0,0,-1,8,-0.41114798185840773,-54082.051121150136,16.0,2.0,14.0,1,1.134
ges,alarm,alarm.xbif_,4,0,0,-1,8,-0.41114798185840773,-54082.051121150136,16.0,2.0,14.0,1,0.859
ges,alarm,alarm.xbif_,8,0,0,-1,8,-0.41114798185840773,-54082.051121150136,16.0,2.0,14.0,1,0.998
pges,alarm,alarm.xbif50001246_,16,16,100,2,7,-0.44509640164530234,-54069.67391102062,14.0,0.0,14.0,3,1.47
