algorithm,network,bbdd,threads,threadsPGES,interleaving,seed,SHD,LL Score,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s)
pges,alarm,alarm.xbif50001246_,16,4,20,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,1.131
pges,alarm,alarm.xbif50001246_,16,4,30,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.138
pges,alarm,alarm.xbif50001246_,16,4,50,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.144
pges,alarm,alarm.xbif50001246_,16,4,5,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,5,0.975
pges,alarm,alarm.xbif50001246_,16,8,100,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.087
pges,alarm,alarm.xbif50001246_,16,8,10,2,16,0.0,-57350.425691448094,40.0,10.0,30.0,5,1.435
pges,alarm,alarm.xbif50001246_,16,8,15,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,1.116
pges,alarm,alarm.xbif50001246_,16,8,20,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,1.094
pges,alarm,alarm.xbif50001246_,16,8,30,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.009
pges,alarm,alarm.xbif50001246_,16,8,50,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.396
pges,alarm,alarm.xbif50001246_,16,8,5,2,14,0.0,-56995.55329149697,34.0,6.0,28.0,4,0.94
pges,alarm,alarm.xbif50001246_,2,16,100,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,2.668
pges,alarm,alarm.xbif50001246_,2,16,10,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,2.929
pges,alarm,alarm.xbif50001246_,2,16,15,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,4.286
pges,alarm,alarm.xbif50001246_,2,16,20,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,2.717
pges,alarm,alarm.xbif50001246_,2,16,30,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,2.482
pges,alarm,alarm.xbif50001246_,2,16,50,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,2.897
pges,alarm,alarm.xbif50001246_,2,16,5,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,6,3.978
pges,alarm,alarm.xbif50001246_,2,2,100,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,2.639
pges,alarm,alarm.xbif50001246_,2,2,10,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,5,2.721
pges,alarm,alarm.xbif50001246_,2,2,15,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,2.617
pges,alarm,alarm.xbif50001246_,2,2,20,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,2.367
pges,alarm,alarm.xbif50001246_,2,2,30,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,2.619
pges,alarm,alarm.xbif50001246_,2,2,50,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,2.469
pges,alarm,alarm.xbif50001246_,2,2,5,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,7,2.413
pges,alarm,alarm.xbif50001246_,2,4,100,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,2.03
pges,alarm,alarm.xbif50001246_,2,4,10,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,2.139
pges,alarm,alarm.xbif50001246_,2,4,15,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,2.181
pges,alarm,alarm.xbif50001246_,2,4,20,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,2.292
pges,alarm,alarm.xbif50001246_,2,4,30,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,2.445
pges,alarm,alarm.xbif50001246_,2,4,50,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,3.073
pges,alarm,alarm.xbif50001246_,2,4,5,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,5,2.513
pges,alarm,alarm.xbif50001246_,2,8,100,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,2.402
pges,alarm,alarm.xbif50001246_,2,8,10,2,16,0.0,-57350.425691448094,40.0,10.0,30.0,5,3.067
pges,alarm,alarm.xbif50001246_,2,8,15,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,3.295
pges,alarm,alarm.xbif50001246_,2,8,20,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,3.038
pges,alarm,alarm.xbif50001246_,2,8,30,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,2.6
pges,alarm,alarm.xbif50001246_,2,8,50,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,3.024
pges,alarm,alarm.xbif50001246_,2,8,5,2,14,0.0,-56995.55329149697,34.0,6.0,28.0,4,2.788
pges,alarm,alarm.xbif50001246_,4,16,100,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,2.653
pges,alarm,alarm.xbif50001246_,4,16,10,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,2.077
pges,alarm,alarm.xbif50001246_,4,16,15,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,3.412
pges,alarm,alarm.xbif50001246_,4,16,20,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.476
pges,alarm,alarm.xbif50001246_,4,16,30,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,2.623
pges,alarm,alarm.xbif50001246_,4,16,50,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,2.967
pges,alarm,alarm.xbif50001246_,4,16,5,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,6,3.39
pges,alarm,alarm.xbif50001246_,4,2,100,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,2.233
pges,alarm,alarm.xbif50001246_,4,2,10,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,5,1.167
pges,alarm,alarm.xbif50001246_,4,2,15,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,1.794
pges,alarm,alarm.xbif50001246_,4,2,20,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,3.362
pges,alarm,alarm.xbif50001246_,4,2,30,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,2.81
pges,alarm,alarm.xbif50001246_,4,2,50,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.129
pges,alarm,alarm.xbif50001246_,4,2,5,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,7,2.335
pges,alarm,alarm.xbif50001246_,4,4,100,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,2.186
pges,alarm,alarm.xbif50001246_,4,4,10,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.63
pges,alarm,alarm.xbif50001246_,4,4,15,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,2.294
pges,alarm,alarm.xbif50001246_,4,4,20,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,2.13
pges,alarm,alarm.xbif50001246_,4,4,30,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,2.614
pges,alarm,alarm.xbif50001246_,4,4,50,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.24
pges,alarm,alarm.xbif50001246_,4,4,5,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,5,1.7
pges,alarm,alarm.xbif50001246_,4,8,100,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.509
pges,alarm,alarm.xbif50001246_,4,8,10,2,16,0.0,-57350.425691448094,40.0,10.0,30.0,5,3.178
pges,alarm,alarm.xbif50001246_,4,8,15,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,1.529
pges,alarm,alarm.xbif50001246_,4,8,20,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,2.846
pges,alarm,alarm.xbif50001246_,4,8,30,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.77
pges,alarm,alarm.xbif50001246_,4,8,50,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,2.054
pges,alarm,alarm.xbif50001246_,4,8,5,2,14,0.0,-56995.55329149697,34.0,6.0,28.0,4,2.953
pges,alarm,alarm.xbif50001246_,8,16,100,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.28
pges,alarm,alarm.xbif50001246_,8,16,10,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,1.245
pges,alarm,alarm.xbif50001246_,8,16,15,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,4,1.479
pges,alarm,alarm.xbif50001246_,8,16,20,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.257
pges,alarm,alarm.xbif50001246_,8,16,30,2,14,0.0,-56981.00464037408,34.0,6.0,28.0,3,1.227
